id;document_number;first_name;first_surname;second_name;second_surname;type_document_id;type_specialist_id
1;properly hopeful;Ignacio;mid ensure perjure;ah;beancurd ha;1;1
2;plaster;Sofía;fetter or;ash gazump astride;immediately;2;2
3;belt yearningly;Carlos;reappear;pander aha whirlwind;spending bereave ick;3;3
4;embark duh meh;Armando;quaintly noisy after;excepting;concerned eek pfft;4;4
5;combust however;María de los Ángeles;trim;lest multicolored a;push hence qualify;5;5
6;linseed whose a;Ana;hard-to-find youthfully;meh viciously;simplistic variation;6;6
7;oppress oof gadzooks;Eloisa;which nationalize;elegantly spawn whenever;hm drummer consequently;7;7
8;immaterial brownie;Juan;unlike uh-huh;aha gee straight;commingle;8;8
9;sneaky;Caridad;neatly unabashedly;greatly within;far;9;9
10;kookily as;Caridad;furthermore sponge;shrilly yowza elastic;failing queasily cooperate;10;10
